index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/10/17 23:35:15.294, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:35:15.296, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:35:15.298, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:35:15.300, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:35:25.302, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:35:25.304, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:35:25.306, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:35:25.308, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:35:35.311, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:35:35.312, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:35:35.314, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:35:35.316, 76.00 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:35:45.318, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:35:45.320, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:35:45.321, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:35:45.323, 58.53 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:35:55.326, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:35:55.328, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:35:55.330, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:35:55.331, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:36:05.334, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:36:05.335, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:36:05.337, 42.95 W, 135 MHz, 877 MHz, 135 MHz
