index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
1, 2023/10/17 17:03:38.715, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:03:38.717, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:03:38.719, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:03:48.721, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:03:48.723, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:03:48.725, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:03:48.727, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:03:58.729, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:03:58.732, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:03:58.734, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:03:58.736, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:04:08.738, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:04:08.740, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:04:08.742, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:04:08.743, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:04:18.746, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:04:18.748, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:04:18.750, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:04:18.752, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:04:28.754, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:04:28.756, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:04:28.758, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:04:28.760, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:04:38.762, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:04:38.764, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:04:38.766, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:04:38.768, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:04:48.770, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:04:48.771, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:04:48.773, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:04:48.775, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:04:58.778, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:04:58.779, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:04:58.781, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:04:58.783, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:05:08.786, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:05:08.788, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:05:08.790, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:05:08.791, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:05:18.793, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:05:18.795, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:05:18.797, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:05:18.799, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:05:28.802, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:05:28.804, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:05:28.805, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:05:28.807, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:05:38.810, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:05:38.812, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:05:38.814, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:05:38.816, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:05:48.819, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:05:48.821, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:05:48.823, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:05:48.824, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:05:58.828, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:05:58.829, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:05:58.831, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:05:58.833, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:06:08.836, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:06:08.838, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:06:08.841, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:06:08.842, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:06:18.845, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:06:18.846, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:06:18.848, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:06:18.850, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:06:28.852, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:06:28.854, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:06:28.856, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:06:28.858, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:06:38.860, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:06:38.862, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:06:38.864, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:06:38.866, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:06:48.869, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:06:48.871, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:06:48.873, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:06:48.874, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:06:58.877, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:06:58.878, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:06:58.880, 42.98 W, 135 MHz, 877 MHz, 135 MHz
